input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
1YwEatD2Hbve2roP15XfgQE,,JB Electrical,,"Level 6/111 Macquarie St, Hobart TAS 7000","{""Thursday"":[""Open 24 hours""]}",null,https://jbelectrical.com.au/,0417363872,4R99488H+QJ,0,4.800000,null,-42.883083,147.329117,,,,,,Australia/Hobart,,0xaa6e7583091a9d4f:0xa7e4585bb45c0896,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1YwEatD2Hbve2roP15XfgQE,,BS Tech Electrical Services,,"174 Argyle St, Hobart TAS 7000","{""Thursday"":[""7 am–5 pm""]}",null,https://bs-tech.com.au/,0435556883,4R9948FC+FW,0,5.000000,null,-42.876281,147.322265,,,,,,Australia/Hobart,,0xaa6e7551feef3fa1:0x70b65bed3d35e531,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1YwEatD2Hbve2roP15XfgQE,,EGS Electric Gas Solar,,"1 Warwick St, Hobart TAS 7000","{""Thursday"":[""8:30 am–5 pm""]}",null,http://www.egstas.com/,(03)62110444,4R9948GF+HP,0,4.900000,null,-42.873529,147.324278,,,,,,Australia/Hobart,,0xaa6e757582b22c55:0xbe2f5bea40a2f25c,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1YwEatD2Hbve2roP15XfgQE,,HC Electrical & Air Conditioning Hobart,,"Suite 2, Ground Floor/280 Argyle St, North Hobart TAS 7000","{""Thursday"":[""Open 24 hours""]}",null,https://www.hcelectricaltas.com.au/,(03)61847234,4R9948G9+P8,0,3.700000,null,-42.873141,147.318263,,,,,,Australia/Hobart,,0xaa6e7500620f30fb:0x39a08f408d80a901,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1YwEatD2Hbve2roP15XfgQE,,White Electrical & Facility Solutions,,"4A Letitia St, North Hobart TAS 7000","{""Thursday"":[""Open 24 hours""]}",null,http://wefs.com.au/,(03)62347011,4R9948HC+CJ,0,5.000000,null,-42.871443,147.321507,,,,,,Australia/Hobart,,0xaa6e750be45ab7d9:0xf4414e9f34e5a3e4,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1YwEatD2Hbve2roP15XfgQE,,Heerey Electrical,,"9 Worley St, North Hobart TAS 7000","{""Thursday"":[""8 am–4:30 pm""]}",null,https://heereyelectrical.com.au/,0438587169,4R9948H9+WP,0,5.000000,null,-42.870161,147.319296,,,,,,Australia/Hobart,,0xaa6e750a8ace26d7:0xc1eafb36d87521d6,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1YwEatD2Hbve2roP15XfgQE,,A.S. Farr Electrical Contractor,,"369 Argyle St, North Hobart TAS 7002","{""Thursday"":[""Open 24 hours""]}",null,https://farrelectrical.au/,(03)62310275,4R9948H8+WG,0,4.200000,null,-42.870223,147.316312,,,,,,Australia/Hobart,,0xaa6e750a231a2371:0x63afe1b0166f745e,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1YwEatD2Hbve2roP15XfgQE,,"Sparksavers Electrical, Solar & Air",,,"{""Thursday"":[""Open 24 hours""]}",null,https://sparksavers.com.au/,0488004173,4R9948PC+F2,0,5.000000,null,-42.863766,147.320022,,,,,,Australia/Hobart,,0xaa6e0d223ee3a379:0x92f18c14af4bfb96,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1YwEatD2Hbve2roP15XfgQE,,Hobart Electrical Group,,"2 Shirley Blvd, Lenah Valley TAS 7008","{""Thursday"":[""7 am–4 pm""]}",null,,0400668746,4R9947MM+MW,0,5.000000,null,-42.865865,147.284794,,,,,,Australia/Hobart,,0x6b5972298057dfe5:0x713aa20928643c40,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
1YwEatD2Hbve2roP15XfgQE,,Rock Electrical,,,"{""Thursday"":[""7:30 am–4:30 pm""]}",null,http://www.rockelectrical.com.au/,0439765533,4R9949QF+HC,0,4.900000,null,-42.861021,147.373522,,,,,,Australia/Hobart,,0xaa6dd7f263567ca5:0xddd822099247089d,,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
